time,open,high,low,close,Plot,Plot,Plot,Plot
2025-04-11T07:00:00-04:00,108.88,109.15,108.06,108.86,NaN,NaN,NaN,NaN
2025-04-11T08:00:00-04:00,108.87,109.62,108.66,108.79,NaN,NaN,NaN,NaN
2025-04-11T09:00:00-04:00,108.76,110.69,107.84,110.39,NaN,NaN,NaN,NaN
2025-04-11T10:00:00-04:00,110.35,110.6,107.48,108.46,NaN,NaN,NaN,NaN
2025-04-11T11:00:00-04:00,108.45,109.67,107.84,109.46,NaN,NaN,NaN,NaN
2025-04-11T12:00:00-04:00,109.46,111.06,109.09,110.44,NaN,NaN,NaN,NaN
2025-04-11T13:00:00-04:00,110.435,111.53,109.3,110.975,NaN,NaN,NaN,NaN
2025-04-11T14:00:00-04:00,110.99,111.095,109.57,109.73,NaN,NaN,NaN,NaN
2025-04-11T15:00:00-04:00,109.75,111.01,109.72,110.77,NaN,NaN,NaN,NaN
2025-04-11T16:00:00-04:00,110.765,110.95,110.58,110.65,NaN,NaN,NaN,NaN
2025-04-11T17:00:00-04:00,110.68,110.78,110.55,110.59,NaN,NaN,NaN,NaN
2025-04-11T18:00:00-04:00,110.6,110.6,110.46,110.51,NaN,NaN,NaN,NaN
2025-04-11T19:00:00-04:00,110.5,110.7,110.4,110.69,NaN,NaN,NaN,NaN
2025-04-14T04:00:00-04:00,115,115.48,113.47,113.51,NaN,NaN,NaN,NaN
2025-04-14T05:00:00-04:00,113.5,113.72,112.41,112.99,NaN,NaN,NaN,NaN
2025-04-14T06:00:00-04:00,112.99,113.28,112.79,113.25,NaN,NaN,NaN,NaN
2025-04-14T07:00:00-04:00,113.25,114.9,113.22,114.27,NaN,NaN,NaN,NaN
2025-04-14T08:00:00-04:00,114.27,114.83,114.1,114.61,NaN,NaN,NaN,NaN
2025-04-14T09:00:00-04:00,114.6,115.37,111.385,111.68,NaN,NaN,NaN,NaN
2025-04-14T10:00:00-04:00,111.73,113.04,111.72,112.18,NaN,NaN,NaN,NaN
2025-04-14T11:00:00-04:00,112.19,112.59,109.2,109.64,NaN,NaN,NaN,NaN
2025-04-14T12:00:00-04:00,109.65,111.12,109.07,110.13,NaN,NaN,NaN,NaN
2025-04-14T13:00:00-04:00,110.14,111.19,109.785,110.61,NaN,NaN,NaN,NaN
2025-04-14T14:00:00-04:00,110.6,111.66,110.58,111.18,NaN,NaN,NaN,NaN
2025-04-14T15:00:00-04:00,111.18,111.875,110.64,110.7,NaN,NaN,NaN,NaN
2025-04-14T16:00:00-04:00,110.65,110.71,109.77,110.39,NaN,NaN,NaN,NaN
2025-04-14T17:00:00-04:00,110.43,110.43,110.15,110.31,NaN,NaN,NaN,NaN
2025-04-14T18:00:00-04:00,110.32,110.32,109.57,109.57,NaN,NaN,NaN,NaN
2025-04-14T19:00:00-04:00,109.57,109.75,109.311,109.311,NaN,NaN,NaN,NaN
2025-04-15T04:00:00-04:00,110.32,111.32,110.32,111.07,NaN,NaN,NaN,NaN
2025-04-15T05:00:00-04:00,111.07,111.25,110.72,110.97,NaN,NaN,NaN,NaN
2025-04-15T06:00:00-04:00,110.93,111.07,110.49,110.89,NaN,NaN,NaN,NaN
2025-04-15T07:00:00-04:00,110.87,111,110.24,110.75,NaN,NaN,NaN,NaN
2025-04-15T08:00:00-04:00,110.75,110.94,109.86,110.43,NaN,NaN,NaN,NaN
2025-04-15T09:00:00-04:00,110.44,112.76,110.19,111.73,NaN,NaN,NaN,NaN
2025-04-15T10:00:00-04:00,111.74,112.3,110.5,111.6,NaN,NaN,NaN,NaN
2025-04-15T11:00:00-04:00,111.605,112.79,111.525,112.71,NaN,NaN,NaN,NaN
2025-04-15T12:00:00-04:00,112.72,113.61,112.295,112.475,NaN,NaN,NaN,NaN
2025-04-15T13:00:00-04:00,112.45,112.81,111.73,112.495,NaN,NaN,NaN,NaN
2025-04-15T14:00:00-04:00,112.49,112.72,111.77,112.63,NaN,NaN,NaN,NaN
2025-04-15T15:00:00-04:00,112.62,112.66,111.95,112.12,NaN,NaN,NaN,NaN
2025-04-15T16:00:00-04:00,112.12,112.39,111.9,112,NaN,NaN,NaN,NaN
2025-04-15T17:00:00-04:00,112,112.14,104.74,105.26,NaN,NaN,NaN,NaN
2025-04-15T18:00:00-04:00,105.29,106.46,104.77,105.87,NaN,NaN,NaN,NaN
2025-04-15T19:00:00-04:00,105.9,105.95,104.9,105.1,NaN,NaN,NaN,NaN
2025-04-16T04:00:00-04:00,105.39,107.37,104.21,106.23,NaN,NaN,NaN,NaN
2025-04-16T05:00:00-04:00,106.25,106.59,105.46,105.69,NaN,NaN,NaN,NaN
2025-04-16T06:00:00-04:00,105.68,105.98,105.41,105.81,NaN,NaN,NaN,NaN
2025-04-16T07:00:00-04:00,105.78,105.81,104.58,104.91,NaN,NaN,NaN,NaN
2025-04-16T08:00:00-04:00,104.92,105.21,104.4,104.62,NaN,NaN,NaN,NaN
2025-04-16T09:00:00-04:00,104.63,106.79,104.13,105.22,NaN,NaN,NaN,NaN
2025-04-16T10:00:00-04:00,105.22,105.745,104.07,104.36,NaN,NaN,NaN,NaN
2025-04-16T11:00:00-04:00,104.355,105.44,103.8,104.415,NaN,NaN,NaN,NaN
2025-04-16T12:00:00-04:00,104.42,104.475,103.56,103.645,NaN,NaN,NaN,NaN
2025-04-16T13:00:00-04:00,103.645,104,101.88,102.01,NaN,NaN,NaN,NaN
2025-04-16T14:00:00-04:00,102.015,102.74,100.45,101.045,NaN,NaN,NaN,NaN
2025-04-16T15:00:00-04:00,101.045,104.55,100.67,104.49,NaN,NaN,NaN,NaN
2025-04-16T16:00:00-04:00,104.49,104.55,103,103.05,NaN,NaN,NaN,NaN
2025-04-16T17:00:00-04:00,103.06,103.77,103.049,103.6,NaN,NaN,NaN,NaN
2025-04-16T18:00:00-04:00,103.59,104.049,103.51,103.92,NaN,NaN,NaN,NaN
2025-04-16T19:00:00-04:00,103.91,103.91,103.3,103.39,NaN,NaN,NaN,NaN
2025-04-17T04:00:00-04:00,105.6,106.06,105.2,105.34,NaN,NaN,NaN,NaN
2025-04-17T05:00:00-04:00,105.33,105.98,105.3,105.64,NaN,NaN,NaN,NaN
2025-04-17T06:00:00-04:00,105.65,105.76,104.63,104.79,NaN,NaN,NaN,NaN
2025-04-17T07:00:00-04:00,104.77,104.9,104.21,104.87,NaN,NaN,NaN,NaN
2025-04-17T08:00:00-04:00,104.86,105.4,104.72,104.8,NaN,NaN,NaN,NaN
2025-04-17T09:00:00-04:00,104.8,104.8,102.03,102.91,NaN,NaN,NaN,NaN
2025-04-17T10:00:00-04:00,102.91,103.06,100.12,100.14,NaN,NaN,NaN,NaN
2025-04-17T11:00:00-04:00,100.15,101.33,100.05,100.27,NaN,NaN,NaN,NaN
2025-04-17T12:00:00-04:00,100.28,101.71,100.16,101.56,NaN,NaN,NaN,NaN
2025-04-17T13:00:00-04:00,101.55,101.84,100.79,101.485,NaN,NaN,NaN,NaN
2025-04-17T14:00:00-04:00,101.48,102.49,101.425,101.43,NaN,NaN,NaN,NaN
2025-04-17T15:00:00-04:00,101.425,101.82,100.85,101.395,NaN,NaN,NaN,NaN
2025-04-17T16:00:00-04:00,101.42,101.69,101.24,101.36,NaN,NaN,NaN,NaN
