university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q493141,Point(25.9333 -24.6667),1982-01-01T00:00:00Z,University of Botswana,Botswana
http://www.wikidata.org/entity/Q493187,Point(27.9235 43.209),1920-01-01T00:00:00Z,University of Economics - Varna,Bulgaria
http://www.wikidata.org/entity/Q493294,Point(26.1247 44.4635),1864-01-01T00:00:00Z,Technical University of Civil Engineering of Bucharest,Romania
http://www.wikidata.org/entity/Q493506,Point(129.076 35.1794),1992-01-01T00:00:00Z,Dongseo University,South Korea
http://www.wikidata.org/entity/Q494096,Point(23.8006 44.3192),1965-01-01T00:00:00Z,University of Craiova,Romania
http://www.wikidata.org/entity/Q494179,Point(103.776 1.32917),1994-01-01T00:00:00Z,Singapore University of Social Sciences,Singapore
http://www.wikidata.org/entity/Q494638,Point(128.79642 36.54157),1947-01-01T00:00:00Z,Gyeongguk National University,South Korea
http://www.wikidata.org/entity/Q495032,Point(-98.200512 19.000742),1937-01-01T00:00:00Z,Benemérita Universidad Autónoma de Puebla,Mexico
http://www.wikidata.org/entity/Q495258,Point(26.9134 46.5542),1990-01-01T00:00:00Z,University of Bacău,Romania
http://www.wikidata.org/entity/Q495330,Point(139.71163889 35.65563889),1882-01-01T00:00:00Z,Kokugakuin University,Japan
http://www.wikidata.org/entity/Q495343,Point(49.677295 34.080182),1971-01-01T00:00:00Z,University of Arak,Iran
http://www.wikidata.org/entity/Q495504,Point(-86.879028333 12.436830277),1812-01-01T00:00:00Z,National Autonomous University of Nicaragua,Nicaragua
http://www.wikidata.org/entity/Q495631,,1973-01-01T00:00:00Z,Ensenada Center for Scientific Research and Higher Education,Mexico
http://www.wikidata.org/entity/Q495957,Point(19.453888888 51.769722222),2002-01-01T00:00:00Z,Medical University of Łódź,Poland
http://www.wikidata.org/entity/Q497033,Point(47.107783 34.390832),1972-01-01T00:00:00Z,Razi University,Iran
http://www.wikidata.org/entity/Q497488,Point(126.63331111 37.37561389),1979-01-10T00:00:00Z,Incheon National University,South Korea
http://www.wikidata.org/entity/Q497766,Point(127.270506 35.647151),,Yewon Arts University,South Korea
http://www.wikidata.org/entity/Q498401,Point(5.697416666 58.937505555),2005-01-01T00:00:00Z,University of Stavanger,Norway
http://www.wikidata.org/entity/Q498451,Point(-121.926 37.4778),1984-01-01T00:00:00Z,Northwestern Polytechnic University,United States
http://www.wikidata.org/entity/Q498526,Point(-121.881111111 37.335555555),1857-01-01T00:00:00Z,San José State University,United States
http://www.wikidata.org/entity/Q499911,Point(7.688888888 45.069444444),1404-01-01T00:00:00Z,University of Turin,Italy
http://www.wikidata.org/entity/Q500131,Point(-90.679586 35.841082),1909-01-01T00:00:00Z,Arkansas State University,United States
http://www.wikidata.org/entity/Q501841,Point(22.284722222 60.454166666),1920-01-01T00:00:00Z,University of Turku,Finland
http://www.wikidata.org/entity/Q502352,Point(-76.1962 36.8027),1978-01-01T00:00:00Z,Regent University,United States
http://www.wikidata.org/entity/Q504263,Point(13.8281725 41.471786111),1979-01-01T00:00:00Z,University of Cassino,Italy
http://www.wikidata.org/entity/Q508048,Point(15.585 48.407777777),1995-01-01T00:00:00Z,University for Continuing Education Krems,Austria
http://www.wikidata.org/entity/Q509250,Point(139.695402 35.690569),1887-01-01T00:00:00Z,Kogakuin University,Japan
http://www.wikidata.org/entity/Q509909,,1212-01-01T00:00:00Z,University of Palencia,Spain
http://www.wikidata.org/entity/Q510029,Point(35.180805555 31.958611111),1924-01-01T00:00:00Z,Birzeit University,State of Palestine
http://www.wikidata.org/entity/Q514030,Point(30.656801 -0.616832),1989-01-01T00:00:00Z,Mbarara University of Science and Technology,Uganda
http://www.wikidata.org/entity/Q517861,,1933-01-01T00:00:00Z,El Bosque University,Colombia
http://www.wikidata.org/entity/Q519556,Point(102.69757 25.05577),1938-04-02T00:00:00Z,National Southwestern Associated University,People's Republic of China
http://www.wikidata.org/entity/Q521612,Point(7.00444 51.3875),1927-01-01T00:00:00Z,Folkwang University of the Arts,Germany
http://www.wikidata.org/entity/Q525169,Point(121.436348 31.025393),1896-12-06T00:00:00Z,Shanghai Jiao Tong University,People's Republic of China
http://www.wikidata.org/entity/Q525169,Point(121.42972 31.20083),1896-12-06T00:00:00Z,Shanghai Jiao Tong University,People's Republic of China
http://www.wikidata.org/entity/Q528231,Point(-0.035411111 51.474269444),1891-01-01T00:00:00Z,"Goldsmiths, University of London",United Kingdom
http://www.wikidata.org/entity/Q532822,Point(8.55975 40.7248),1562-01-01T00:00:00Z,University of Sassari,Italy
http://www.wikidata.org/entity/Q534515,Point(106.8272343 -6.3606229),1849-01-01T00:00:00Z,University of Indonesia,Indonesia
http://www.wikidata.org/entity/Q534515,Point(106.8272343 -6.3606229),1950-02-02T00:00:00Z,University of Indonesia,Indonesia
http://www.wikidata.org/entity/Q536280,Point(102.6366 18.0365),1996-01-01T00:00:00Z,National University of Laos,Laos
http://www.wikidata.org/entity/Q536709,Point(-100.458333333 31.4375),1928-01-01T00:00:00Z,Angelo State University,United States
http://www.wikidata.org/entity/Q538452,Point(23.591111111 46.767777777),1776-01-01T00:00:00Z,Babeș-Bolyai University,Romania
http://www.wikidata.org/entity/Q539575,Point(-101.164116 19.656319),2002-01-01T00:00:00Z,"Monterrey Institute of Technology and Higher Education, Morelia",Mexico
http://www.wikidata.org/entity/Q539682,,1994-01-01T00:00:00Z,Universidad España,Mexico
http://www.wikidata.org/entity/Q540231,,1941-11-23T00:00:00Z,Reichsuniversität Straßburg,Nazi Germany
http://www.wikidata.org/entity/Q540341,Point(10.7436 34.7371),1986-01-01T00:00:00Z,University of Sfax,Tunisia
http://www.wikidata.org/entity/Q540672,Point(-85.486078 32.603374),1856-01-01T00:00:00Z,Auburn University,United States
http://www.wikidata.org/entity/Q541927,Point(-79.8682 -2.13256),1993-01-01T00:00:00Z,Universidad de Especialidades Espíritu Santo,Ecuador
http://www.wikidata.org/entity/Q542248,Point(-66.78 10.4922),1953-10-13T00:00:00Z,Universidad Santa María,Venezuela
